Activity Type,Location,Distance,Calories,Time,Avg HR,Max HR,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Cadence,Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,Poughkeepsie Running,1.4,122,08:56.9,171,186,168,192,6:23,4:35,46,60,1.5,,,,,
running,Poughkeepsie Running,1.42,119,09:02.2,160,177,165,198,6:22,4:41,,14,1.53,,,,,
running,Poughkeepsie Running,1.27,116,9:53,140,156,165,176,7:46,7:19,,,0,,,,,
running,Poughkeepsie Running,6.26,577,46:42:00,151,166,165,178,7:28,5:09,206,212,1.31,,,,,
running,Poughkeepsie Running,1.29,130,9:42,155,163,163,172,7:32,6:59,23,18,0,,,,,
running,Poughkeepsie Running,1.42,126,9:16,164,186,168,192,6:31,4:00,65,86,0,,,,,
running,Poughkeepsie Running,6.37,574,47:19:00,149,167,164,178,7:25,4:21,376,346,1.32,,,,,
running,Hyde Park Running,0.97,100,08:01.9,147,158,158,196,8:19,6:55,,7,1.23,,,,,
running,Hyde Park Running,0.8,67,04:50.3,166,186,168,193,6:05,4:01,,10,1.57,,,,,
running,Hyde Park Running,0.8,61,04:03.9,179,188,168,186,5:05,4:23,,7,1.88,,,,,
running,Hyde Park Running,0.79,61,04:11.7,176,188,169,191,5:17,5:01,,7,1.81,,,,,
running,Hyde Park Running,0.79,55,04:13.3,160,185,171,180,5:20,4:57,,7,1.77,,,,,
running,Hyde Park Running,0.8,53,04:15.7,160,180,167,192,5:21,5:10,,7,1.8,,,,,
running,Hyde Park Running,1.63,163,12:44,158,177,166,176,7:49,7:09,,,1.24,,,,,
running,Poughkeepsie Running,5.09,461,39:33:00,144,167,166,182,7:46,6:45,275,261,1.25,,,,,
running,Poughkeepsie Running,11.34,966,1:22:40,150,166,165,186,7:17,5:30,477,486,1.34,,,,,
running,New Paltz Running,0.49,51,04:36.3,137,141,162,170,9:30,7:39,25,,1.05,,,,,
running,Poughkeepsie Running,9.1,766,1:05:03,147,158,162,175,7:09,5:32,717,718,1.39,,,,,
running,Poughkeepsie Running,1.39,151,10:32,,,165,174,7:34,7:00,,2,0,,,,,
walking,Poughkeepsie Walking,2.57,77,28:13:00,88,105,7,165,11:00,1:31,163,14,20.24,,,,,
running,Poughkeepsie Running,2.41,209,17:53,143,157,161,180,7:24,5:40,,107,1.35,,,,,
running,Poughkeepsie Running,6.76,642,49:37:00,156,176,162,198,7:20,4:49,96,107,1.35,,,,,
running,Poughkeepsie Running,7,661,50:07:00,159,173,161,176,7:09,6:13,384,379,0,,,,,
running,Poughkeepsie Running,0.55,30,6:34,161,179,170,228,11:57,3:57,,,0,,,,,
running,Poughkeepsie Running,0.89,78,5:01,178,188,162,176,5:39,4:17,26,,0,,,,,
running,Poughkeepsie Running,0.9,75,5:01,176,186,164,172,5:35,5:08,9,10,0,,,,,
running,Poughkeepsie Running,0.85,78,05:01.3,176,184,164,170,5:56,5:02,15,,1.65,,,,,
running,Poughkeepsie Running,0.94,70,05:00.4,164,179,164,177,5:21,4:56,,16,1.83,,,,,
running,Poughkeepsie Running,1.32,133,10:26,141,152,161,174,7:53,6:54,13,15,1.27,,,,,
running,Poughkeepsie Running,3.31,282,25:28:00,143,158,163,179,7:42,5:34,130,115,1.28,,,,,
running,Poughkeepsie Running,9.59,"1,020",1:09:41,,,162,177,7:16,5:45,290,311,1.36,,,,,
running,Brewster Running,5.55,604,37:15:00,,,165,173,6:43,4:54,37,47,1.45,,,,,
running,Brewster Running,3.87,425,33:40:00,,,,,8:42,7:00,68,67,0,,,,,
running,Brewster Running,6.01,650,41:25:00,,,164,175,6:53,5:01,84,86,1.42,,,,,
running,Brewster Running,5.92,633,39:54:00,,,163,180,6:44,5:44,50,50,1.46,,,,,
running,Brewster Running,3.99,425,26:19:00,,,162,173,6:35,5:29,25,29,1.51,,,,,
running,Brewster Running,12,"1,315",1:27:33,,,,,7:18,6:12,303,305,0,,,,,
running,Brewster Running,4.75,504,32:57:00,,,164,197,6:56,1:18,76,58,1.42,,,,,
running,Slingerlands Running,4.31,466,28:14:00,,,164,172,6:33,5:24,73,65,1.5,,,,,
running,Albany Running,4.08,438,27:10:00,,,163,172,6:39,5:06,79,77,1.49,,,,,
running,Altamont Running,6.03,636,46:23:00,,,161,198,7:42,4:18,596,541,1.3,,,,,
running,Poughkeepsie Running,7.14,774,54:53:00,,,161,174,7:41,5:45,672,682,1.3,,,,,
running,Slingerlands Running,4.34,469,28:21:00,,,164,173,6:32,5:03,49,41,1.5,,,,,
running,Troy Running,0.84,88,06:18.2,,,157,169,7:28,6:55,14,11,1.38,,,,,
running,Troy Running,3.17,342,20:54,,,162,171,6:35,5:31,141,125,1.51,,,,,
running,Slingerlands Running,4.4,468,29:45:00,,,161,192,6:45,3:52,94,92,1.48,,,,,
running,Delmar Running,7.69,828,1:00:07,,,162,182,7:49,4:57,212,209,1.27,,,,,
running,Slingerlands Running,5.01,539,32:17:00,,,164,177,6:27,4:57,70,63,1.52,,,,,
running,Slingerlands Running,6.07,654,41:32:00,,,163,201,6:51,3:42,150,155,1.45,,,,,
running,Bethlehem Running,1.46,157,10:03,,,,,6:52,3:59,,,0,,,,,
running,Bethlehem Running,2.01,219,11:21,,,,,5:39,4:53,44,49,0,,,,,
running,Bethlehem Running,1.57,173,11:40,,,,,7:27,6:04,36,47,0,,,,,
running,Slingerlands Running,6.25,673,42:57:00,,,164,176,6:52,5:32,187,180,1.42,,,,,
running,Slingerlands Running,5.87,629,40:12:00,,,163,181,6:51,4:20,125,128,1.44,,,,,
running,New Scotland Running,3,331,31:01:00,,,,,10:20,7:53,116,119,0,,,,,
running,East Greenbush Running,0.91,94,06:18.6,,,162,172,6:57,5:07,,,1.43,,,,,
running,East Greenbush Running,3.76,405,28:44:00,,,162,198,7:38,5:25,187,168,1.3,,,,,
running,Slingerlands Running,5.01,538,35:19:00,,,162,174,7:03,6:00,79,72,1.41,,,,,
running,Slingerlands Running,6.04,653,40:02:00,,,163,178,6:38,4:58,164,167,1.49,,,,,
running,New Scotland Running,5,554,39:08:00,,,,,7:50,6:32,74,75,0,,,,,
running,Bethlehem Running,4.75,517,32:10:00,,,,,6:47,5:41,81,72,0,,,,,
running,Bethlehem Running,5.19,571,35:05:00,,,,,6:46,5:19,97,93,0,,,,,
running,Albany Running,1.16,122,07:08.4,,,162,171,6:09,5:14,18,36,1.61,,,,,
running,Slingerlands Running,4.03,433,26:55:00,,,162,177,6:41,5:10,64,23,1.49,,,,,
running,Slingerlands Running,3.84,415,26:15:00,,,162,169,6:50,6:09,79,73,1.45,,,,,
running,Slingerlands Running,3.93,421,26:01:00,,,165,172,6:38,4:55,48,41,1.48,,,,,
running,Slingerlands Running,4.84,520,32:03:00,,,163,174,6:38,5:44,68,61,1.49,,,,,
running,Bethlehem Running,5,550,36:36:00,,,,,7:19,5:59,75,73,0,,,,,
running,Bethlehem Running,4.47,490,32:14:00,,,,,7:12,5:26,109,105,0,,,,,
running,East Greenbush Running,5.11,555,43:49:00,,,157,175,8:35,6:17,172,159,1.19,,,,,
running,Bethlehem Running,4.5,495,34:24:00,,,,,7:39,6:52,79,81,0,,,,,
running,Bethlehem Running,3.08,336,20:38,,,,,6:42,5:44,77,47,0,,,,,
running,Poughkeepsie Running,1.22,131,10:56,,,158,168,9:00,6:28,163,,1.13,,,,,
running,New Scotland Running,5.5,610,43:07:00,,,,,7:50,6:42,164,178,0,,,,,
running,Poughkeepsie Running,3.13,330,18:22,,,164,198,5:52,4:57,28,226,1.67,,,,,
running,New Scotland Running,7,777,53:43:00,,,,,7:40,6:15,208,200,0,,,,,
running,Slingerlands Running,2.99,319,19:35,,,164,173,6:33,5:50,39,33,1.5,,,,,
running,Bethlehem Running,4.64,501,29:06:00,,,,,6:17,5:35,64,64,0,,,,,
running,Poughkeepsie Running,5.77,601,43:21:00,,,162,198,7:31,3:58,241,215,1.32,,,,,
running,Poughkeepsie Running,8.07,869,57:52:00,,,162,175,7:10,5:07,682,666,1.38,,,,,
running,Williamsburg Running,1.03,113,08:32.2,,,161,171,8:18,7:17,,,1.21,,,,,
running,Williamsburg Running,1.24,132,09:56.3,,,162,198,8:03,6:16,23,27,1.23,,,,,
running,Williamsburg Running,1.4,146,12:44,,,163,172,9:06,6:58,51,56,1.08,,,,,
running,Williamsburg Running,1.23,131,09:37.2,,,163,178,7:50,6:09,19,23,1.26,,,,,
running,Poughkeepsie Running,1.71,182,13:58,,,162,173,8:10,6:55,167,94,1.21,,,,,
running,Highland Running,0.93,100,04:58.5,,,167,183,5:21,5:10,53,,1.8,,,,,
running,Albany Running,1.1,118,08:07.6,,,161,171,7:24,6:58,16,27,1.35,,,,,
running,Poughkeepsie Running,2.09,228,17:04,,,162,171,8:10,6:12,38,36,1.22,,,,,
running,Poughkeepsie Running,3.4,370,25:00:00,,,165,179,7:22,5:23,50,41,1.33,,,,,
running,Poughkeepsie Running,3.86,419,28:13:00,,,165,185,7:19,5:48,145,123,1.33,,,,,
running,Poughkeepsie Running,1.61,172,11:52,,,165,183,7:23,6:46,23,25,1.32,,,,,
running,Poughkeepsie Running,4.7,505,33:27:00,,,163,176,7:07,5:45,216,182,1.39,,,,,
running,New York Running,0.87,96,07:30.6,,,158,167,8:38,7:13,,,1.18,,,,,
running,New York Running,0.73,78,06:18.0,,,160,167,8:38,6:37,10,,1.17,,,,,
running,New York Running,1.08,118,10:03,,,153,170,9:18,5:55,8,8,1.13,,,,,
running,Poughkeepsie Running,2.05,214,17:08,,,151,228,8:21,4:30,66,28,1.27,,,,,
running,Poughkeepsie Running,6.02,655,45:12:00,,,163,178,7:30,5:22,215,257,1.32,,,,,
running,Poughkeepsie Running,5.6,607,42:30:00,,,164,185,7:36,5:44,229,263,1.29,,,,,
running,Poughkeepsie Running,5.67,616,41:11:00,,,162,175,7:15,6:05,178,175,1.37,,,,,
running,Poughkeepsie Running,10.48,"1,126",1:19:49,,,163,186,7:37,5:55,705,687,1.3,,,,,
running,Poughkeepsie Running,5.82,611,37:33:00,,,168,204,6:27,4:53,439,234,1.49,,,,,
running,Poughkeepsie Running,6.57,691,48:41:00,,,164,185,7:25,4:22,270,271,1.32,,,,,
treadmill_running,Treadmill Running,1.04,112,08:39.8,,,146,175,8:19,6:36,,,1.33,,,,,
running,Poughkeepsie Running,5.83,624,40:12:00,,,162,177,6:53,5:33,173,159,1.44,,,,,
running,Poughkeepsie Running,0.41,42,02:58.2,,,163,171,7:15,6:36,,,1.37,,,,,
running,Poughkeepsie Running,0.57,44,04:22.1,,,146,237,7:41,4:31,14,,1.43,,,,,
running,Poughkeepsie Running,11.08,"1,188",1:18:38,,,162,177,7:06,5:12,615,594,1.4,,,,,
lap_swimming,Lap Swimming,,12,05:41.4,,,,,2:01,1:47,,,0,,,28,40,18
running,Poughkeepsie Running,4.82,516,34:15:00,,,161,176,7:06,6:03,383,400,1.4,,,,,
running,Poughkeepsie Running,6.37,680,47:49:00,,,162,217,7:30,4:17,219,196,1.33,,,,,
running,Poughkeepsie Running,4.83,521,35:25:00,,,163,177,7:20,6:06,285,266,1.35,,,,,
running,Poughkeepsie Running,10.88,"1,167",1:13:50,,,164,235,6:47,4:56,636,593,1.45,,,,,
running,Poughkeepsie Running,5.93,643,41:16:00,,,161,177,6:58,5:22,402,347,1.43,,,,,
running,Poughkeepsie Running,6.4,691,46:27:00,,,164,179,7:16,6:00,511,500,1.35,,,,,
running,Slingerlands Running,5.88,628,39:55:00,,,162,187,6:47,4:00,139,149,1.46,,,,,
running,Albany Running,0.41,45,03:25.8,,,159,171,8:16,7:11,,,1.22,,,,,
running,Altamont Running,4.97,517,39:35:00,,,160,228,7:58,6:36,159,161,1.26,,,,,
running,Albany Running,1.56,164,09:03.6,,,165,186,5:47,4:51,2,25,1.68,,,,,
running,Slingerlands Running,1.7,176,10:31,,,164,176,6:12,5:28,67,22,1.58,,,,,
running,Slingerlands Running,0.78,79,05:55.4,,,160,174,7:34,6:53,26,33,1.33,,,,,
running,Slingerlands Running,5.44,579,38:17:00,,,162,217,7:03,4:56,92,83,1.41,,,,,
running,Altamont Running,6.99,628,44:02:00,,,151,174,6:18,1:30,37,93,1.69,,,,,
running,Albany Running,2.28,240,15:00,,,164,174,6:35,5:14,,39,1.49,,,,,
running,Running,0.7,77,05:36.2,,,163,174,8:00,7:10,,,1.24,,,,,
running,Slingerlands Running,5.2,556,36:18:00,,,162,185,6:59,4:14,116,119,1.42,,,,,
running,Slingerlands Running,10.5,"1,122",1:13:57,,,173,188,7:03,5:47,176,170,1.32,,,,,
indoor_cycling,Indoor Cycling,0,,1:22:35,,,,,,,,,0,,,,,
running,Hyde Park Running,1.08,113,11:15,,,165,178,10:26,8:20,10,10,0.94,,,,,
running,Hyde Park Running,0.7,64,04:01.6,,,166,196,5:47,4:29,,,1.67,,,,,
running,Hyde Park Running,1.07,106,06:00.4,,,168,190,5:38,4:43,,,1.7,,,,,
running,Hyde Park Running,1.98,215,13:00,,,165,197,6:34,3:25,27,58,1.48,,,,,
running,Hyde Park Running,1.7,179,09:43.2,,,168,192,5:44,2:19,55,11,1.67,,,,,
running,Hyde Park Running,1.63,175,12:49,,,165,181,7:51,5:56,25,15,1.24,,,,,
running,Poughkeepsie Running,9.31,997,1:09:24,,,164,198,7:27,4:44,625,635,1.32,,,,,
running,Poughkeepsie Running,5.38,577,42:18:00,,,164,177,7:51,6:59,508,505,1.25,,,,,
running,Pennington Running,1.19,124,12:13,,,163,191,10:15,6:28,73,65,0.96,,,,,
running,Pennington Running,1.23,138,09:49.4,,,165,175,7:58,5:59,,,1.22,,,,,
running,New Scotland Running,12,"1,324",1:28:39,,,,,7:23,6:51,269,270,0,,,,,
running,Bethlehem Running,7.12,778,52:26:00,,,,,7:22,5:55,143,141,0,,,,,
running,Bethlehem Running,6,660,45:59:00,,,,,7:40,6:13,58,63,0,,,,,
running,Bethlehem Running,4.96,543,37:15:00,,,,,7:31,5:57,63,73,0,,,,,
running,Bethlehem Running,5.95,648,43:48:00,,,,,7:22,5:15,123,116,0,,,,,
running,Bethlehem Running,5,550,39:13:00,,,,,7:50,6:43,86,87,0,,,,,
running,Bethlehem Running,5.94,651,43:27:00,,,,,7:19,6:03,120,112,0,,,,,
running,Bethlehem Running,5,547,36:01:00,,,,,7:12,6:12,92,94,0,,,,,
running,Bethlehem Running,5.92,649,43:26:00,,,,,7:20,5:08,109,118,0,,,,,
running,Bethlehem Running,4,439,29:50:00,,,,,7:27,3:18,33,30,0,,,,,
running,Bethlehem Running,8,880,1:01:38,,,,,7:42,6:13,269,271,0,,,,,
running,Slingerlands Running,5.64,607,38:03:00,,,162,175,6:45,5:03,103,97,1.47,,,,,
running,Slingerlands Running,5.87,627,41:00:00,,,161,183,6:59,6:13,119,129,1.43,,,,,
running,Slingerlands Running,5.3,563,34:44:00,,,162,177,6:33,4:44,95,88,1.52,,,,,
running,Slingerlands Running,3.91,417,28:02:00,,,162,181,7:11,3:11,56,63,1.38,,,,,
running,Slingerlands Running,5.05,539,34:55:00,,,161,177,6:55,5:40,69,68,1.44,,,,,
treadmill_running,Treadmill Running,3.99,430,34:40:00,,,147,186,8:41,6:38,,,1.26,,,,,
running,Slingerlands Running,6.01,640,43:38:00,,,162,172,7:16,5:51,110,103,1.37,,,,,
running,Slingerlands Running,7.19,774,51:56:00,,,163,176,7:13,4:56,131,126,1.37,,,,,
running,Slingerlands Running,7.04,752,49:26:00,,,162,196,7:02,5:19,148,147,1.41,,,,,
running,Slingerlands Running,7.07,760,50:25:00,,,163,181,7:08,3:59,112,106,1.38,,,,,
running,Slingerlands Running,7.12,764,50:44:00,,,164,176,7:07,5:19,158,158,1.38,,,,,
running,Voorheesville Running,9.5,"1,015",1:09:38,,,171,181,7:20,4:32,228,251,1.28,,,,,
running,Slingerlands Running,3.11,326,20:13,,,162,172,6:30,5:36,60,45,1.52,,,,,
running,Albany Running,5.46,595,41:05:00,,,162,174,7:31,6:07,50,57,1.32,,,,,
running,Slingerlands Running,5.28,569,39:39:00,,,162,174,7:30,6:35,71,70,1.33,,,,,
running,Slingerlands Running,3.97,421,26:42:00,,,161,172,6:44,5:30,58,54,1.48,,,,,
running,Slingerlands Running,4.99,531,34:49:00,,,162,172,6:59,5:25,92,106,1.42,,,,,
running,Slingerlands Running,3.47,371,25:16:00,,,161,173,7:17,6:38,78,85,1.37,,,,,
running,New Paltz Running,3.01,292,19:14,,,164,192,6:23,1:42,,189,1.53,,,,,
running,Poughkeepsie Running,5.39,582,39:07:00,,,164,182,7:16,5:56,206,235,1.35,,,,,
running,Poughkeepsie Running,4.04,432,29:22:00,,,164,177,7:16,4:59,325,386,1.35,,,,,
running,Poughkeepsie Running,5.39,573,37:44:00,,,161,176,7:00,5:07,344,425,1.43,,,,,
lap_swimming,Lap Swimming,,62,45:36:00,,,,,3:00,1:19,,,0,,,168,56,15
running,Poughkeepsie Running,6.43,692,47:03:00,,,162,183,7:19,5:48,12,113,1.36,,,,,
running,Poughkeepsie Running,5.77,610,40:36:00,,,165,197,7:03,5:09,225,236,1.39,,,,,
running,Poughkeepsie Running,1.77,194,13:34,,,165,185,7:41,6:35,48,104,1.27,,,,,
running,Poughkeepsie Running,2.76,298,20:14,,,166,185,7:20,5:57,,23,1.33,,,,,
running,Poughkeepsie Running,4.03,434,29:39:00,,,166,198,7:22,6:24,155,155,1.32,,,,,
indoor_cycling,Untitled,0,,21:44,,,,,,,,,0,,,,,
running,Poughkeepsie Running,3.01,328,23:24,,,167,189,7:46,7:10,103,79,1.24,,,,,
running,Albany Running,3.95,421,27:31:00,,,161,178,6:58,4:57,21,45,1.43,,,,,
running,Altamont Running,6.4,687,46:05:00,,,162,185,7:12,6:11,145,195,1.38,,,,,
running,Slingerlands Running,4.37,470,29:56:00,,,162,207,6:51,5:06,110,110,1.45,,,,,
running,Slingerlands Running,4.02,427,26:48:00,,,164,181,6:40,5:37,8,10,1.47,,,,,
running,Slingerlands Running,6.22,662,44:00:00,,,163,193,7:05,4:09,102,100,1.39,,,,,
running,Slingerlands Running,4.77,499,31:55:00,,,161,175,6:42,4:39,66,66,1.49,,,,,
running,Poughkeepsie Running,8.98,945,1:06:13,,,162,228,7:22,2:23,127,228,1.34,,,,,